lead_id,name,title,company,company_type,company_hq,person_location,scientific_focus,recent_publication,funding_status,email,linkedin_url
13,Dr. Sophie Laurent,Head of Toxicology,Sanofi,Big Pharma,Paris France,Paris France,Drug-Induced Liver Injury,No,Public,sophie.laurent@sanofi.com,https://linkedin.com/in/sophielaurent
14,Dr. Mark Evans,Associate Director Preclinical Safety,Beam Therapeutics,Series B Biotech,Cambridge MA,Cambridge MA,3D Cell Culture,Yes,Series B,mark.evans@beamtx.com,https://linkedin.com/in/markevans
15,Dr. Priya Nair,Principal Scientist Investigative Toxicology,AstraZeneca,Big Pharma,Cambridge UK,Cambridge UK,Hepatic Spheroids,Yes,Public,priya.nair@astrazeneca.com,https://linkedin.com/in/priyanair
16,Dr. Andrew Collins,Director Toxicology,Merck & Co,Big Pharma,Kenilworth NJ,Boston MA,Drug-Induced Liver Injury,Yes,Public,andrew.collins@merck.com,https://linkedin.com/in/andrewcollins
17,Dr. Elena Rossi,Senior Scientist Safety Assessment,Dompé Farmaceutici,Series A Biotech,Milan Italy,Milan Italy,General Toxicology,No,Series A,elena.rossi@dompe.com,https://linkedin.com/in/elenarossi
18,Dr. Peter Johansson,Head of Preclinical Safety,Sobi,Series B Biotech,Stockholm Sweden,Stockholm Sweden,Organ-on-chip,Yes,Series B,peter.johansson@sobi.com,https://linkedin.com/in/peterjohansson
19,Dr. Rachel Green,Director Investigative Toxicology,Insitro,Series B Biotech,South San Francisco CA,San Francisco CA,3D Cell Culture,Yes,Series B,rachel.green@insitro.com,https://linkedin.com/in/rachelgreen
20,Dr. Marco Bianchi,Principal Scientist Toxicology,Chiesi Farmaceutici,Big Pharma,Parma Italy,Parma Italy,Drug-Induced Liver Injury,No,Public,marco.bianchi@chiesi.com,https://linkedin.com/in/marcobianchi
21,Dr. Allison Moore,Associate Director Safety Assessment,Relay Therapeutics,Series B Biotech,Cambridge MA,Remote - New York,Hepatic Spheroids,Yes,Series B,allison.moore@relaytx.com,https://linkedin.com/in/allisonmoore
22,Dr. Vikram Singh,Senior Scientist Preclinical Safety,Biocon,Big Pharma,Bangalore India,Bangalore India,General Toxicology,No,Public,vikram.singh@biocon.com,https://linkedin.com/in/vikramsingh
23,Dr. Julia Fischer,Director Toxicology,Bayer,Big Pharma,Leverkusen Germany,Berlin Germany,Drug-Induced Liver Injury,Yes,Public,julia.fischer@bayer.com,https://linkedin.com/in/juliafischer
24,Dr. Benjamin Scott,Head of Safety Pharmacology,Vertex Pharmaceuticals,Big Pharma,Cambridge MA,Cambridge MA,3D Cell Culture,Yes,Public,benjamin.scott@vertex.com,https://linkedin.com/in/benjaminscott
25,Dr. Olivia Turner,Principal Scientist Toxicology,Exscientia,Series B Biotech,Oxford UK,Oxford UK,Organ-on-chip,Yes,Series B,olivia.turner@exscientia.ai,https://linkedin.com/in/oliviaterner
26,Dr. Samuel Reed,Director Preclinical Research,Denali Therapeutics,Series B Biotech,South San Francisco CA,San Francisco CA,Hepatic Spheroids,No,Series B,samuel.reed@denalitherapeutics.com,https://linkedin.com/in/samuelreed
27,Dr. Caroline Dupont,Senior Scientist Safety Assessment,Institut Pasteur,Research Institute,Paris France,Paris France,Investigative Toxicology,Yes,Grant-funded,caroline.dupont@pasteur.fr,https://linkedin.com/in/carolinedupont
28,Dr. Yuki Tanaka,Associate Director Toxicology,Takeda,Big Pharma,Tokyo Japan,Tokyo Japan,Drug-Induced Liver Injury,No,Public,yuki.tanaka@takeda.com,https://linkedin.com/in/yukitanaka
29,Dr. Mohammed Al-Sayed,Head of Preclinical Safety,GSK,Big Pharma,London UK,Remote - Dubai,3D Cell Culture,Yes,Public,mohammed.alsayed@gsk.com,https://linkedin.com/in/mohammedalsayed
30,Dr. Christina Nguyen,Principal Scientist Investigative Toxicology,AbbVie,Big Pharma,North Chicago IL,Chicago IL,Hepatic Spheroids,Yes,Public,christina.nguyen@abbvie.com,https://linkedin.com/in/christinanguyen
31,Dr. Lucas Meyer,Director Safety Assessment,Evotec,Series B Biotech,Hamburg Germany,Hamburg Germany,Organ-on-chip,No,Series B,lucas.meyer@evotec.com,https://linkedin.com/in/lucasmeyer
32,Dr. Aditi Kulkarni,Senior Scientist Toxicology,Laurus Labs,Big Pharma,Hyderabad India,Hyderabad India,General Toxicology,No,Public,aditi.kulkarni@lauruslabs.com,https://linkedin.com/in/aditikulkarni
33,Dr. Jonathan Price,Associate Director Preclinical Safety,Apellis Pharmaceuticals,Series B Biotech,Waltham MA,Boston MA,Drug-Induced Liver Injury,Yes,Series B,jonathan.price@apellis.com,https://linkedin.com/in/jonathanprice
34,Dr. Isabelle Moreau,Head of Toxicology,Servier,Big Pharma,Suresnes France,Paris France,Investigative Toxicology,No,Public,isabelle.moreau@servier.com,https://linkedin.com/in/isabellemoreau
35,Dr. David Kim,Principal Scientist Safety Assessment,Genentech,Big Pharma,South San Francisco CA,San Jose CA,3D Cell Culture,Yes,Public,david.kim@gene.com,https://linkedin.com/in/davidkim
36,Dr. Fatima Hassan,Director Preclinical Safety,Cellarity,Series B Biotech,Cambridge MA,Cambridge MA,Organ-on-chip,Yes,Series B,fatima.hassan@cellarity.com,https://linkedin.com/in/fatimahassan
37,Dr. Steven Park,Senior Scientist Investigative Toxicology,Bristol Myers Squibb,Big Pharma,New York NY,Remote - New Jersey,Drug-Induced Liver Injury,No,Public,steven.park@bms.com,https://linkedin.com/in/stevenpark
38,Dr. Maria Gonzalez,Associate Director Toxicology,Almirall,Big Pharma,Barcelona Spain,Barcelona Spain,Hepatic Spheroids,Yes,Public,maria.gonzalez@almirall.com,https://linkedin.com/in/mariagonzalez
39,Dr. Eric Wilson,Director Safety Pharmacology,Blueprint Medicines,Series B Biotech,Cambridge MA,Cambridge MA,3D Cell Culture,Yes,Series B,eric.wilson@blueprintmedicines.com,https://linkedin.com/in/ericwilson
40,Dr. Kavita Mehra,Head of Preclinical Toxicology,Piramal Pharma,Big Pharma,Mumbai India,Mumbai India,Investigative Toxicology,No,Public,kavita.mehra@piramal.com,https://linkedin.com/in/kavitamehra
 
